transaction,address,bedroom,living_room,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date,id
rent,"Euston Road, London NW1",2.0,,1.0,,,,2 bedroom flat to rent,,NW1,NaN,omt,https://www.onthemarket.com/details/13231683/,2023-05-19,"rent2.01.0nan1500.0Euston Road, London NW1"
rent,"Ewald Road, Fulham SW6",4.0,1.0,3.0,,,,"A superb recently renovated four bedroom terraced house. Located a short distance from the shops, bars and restaurants of New Kings Road and ...",,SW6,John D Wood & Co. - Parsons Green Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64672814/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent4.03.0nan5500.0Ewald Road, Fulham SW6"
rent,"Augustus Road, London SW19",,,,,,,Luxurious and stylishly studio apartments within a private gated delopment teaming with resident amenity spaces: Â€¢ A spectacular residents' ...,,SW19,John D Wood & Co. - Southfields Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64672829/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rentnannannan1457.0Augustus Road, London SW19"
rent,"Belvedere Heights, Lisson Grove, London NW8",2.0,1.0,2.0,,,,"This is a beautifully decorated modern two double bedroom, two bathroom apartment on the higher floor of this popular portered block within ...",,NW8,Redac Strattons - Central London Hub,zoopla,https://www.zoopla.co.uk/to-rent/details/64672934/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent2.02.0nan2300.0Belvedere Heights, Lisson Grove, London NW8"
rent,"Eckstein Road, London, SW11",3.0,,1.0,,,,"*** REFURBISHED PERIOD GARDEN FLAT WITH THREE DOUBLE BEDROOMS, A SOUTH FACING PRIVATE GARDEN AND LARGE CELLAR *** This lovely period garden flat with three double-bedrooms is in an enviable loc... ** Property Reference: 1711094 **",,SW11,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135043940#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.01.0nan1100.0Eckstein Road, London, SW11"
sales,"Lancaster Avenue, West Dulwich",4.0,,2.0,1050000.0,,,4 bedroom end of terrace house for sale,,Dulwich,NaN,omt,https://www.onthemarket.com/details/13229230/,2023-05-19,"sales4.02.01050000.0nanLancaster Avenue, West Dulwich"
sales,"Oglander Road, London SE15",3.0,1.0,3.0,1000000.0,,,"Introducing a unique and spacious double-fronted Victorian house, this recently refurbished property offers an impressive living space of 156 ...",,SE15,Strike,zoopla,https://www.zoopla.co.uk/for-sale/details/64672865/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.03.01000000.0nanOglander Road, London SE15"
rent,"Carvell House, 22 Aerodrome Road, London, NW9",2.0,,2.0,,,,Life Residential are pleased to offer this luxurious two bedroom apartment in Carvell House,,NW9,"Life Residential, West London- Lettings",rightmove,https://www.rightmove.co.uk/properties/133361897#/?channel=RES_LET,2023-05-19 00:00:00,"rent2.02.0nan1950.0Carvell House, 22 Aerodrome Road, London, NW9"
rent,"Adelaide Road, Chalk Farm, NW3",1.0,,1.0,,,,"This charming one bedroom apartment is on the second floor of a converted, attractive period property and is superbly located - just moments from Chalk Farm station and Primose Hill. This light and airy apartment has an open plan reception, modern fitted kitchen, bedroom and fully tiled bathroom....",,NW3,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/133526060#/?channel=RES_LET,2023-05-19 00:00:00,"rent1.01.0nan750.0Adelaide Road, Chalk Farm, NW3"
rent,"Narcissus Road, West Hampstead, London NW6",1.0,,1.0,,,,"All bills included! Introducing a stunning newly refurbished studio flat in the heart of West Hampstead, situated on the desirable Narcissus Road. ...",,NW6,Belgrave Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672917/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan1500.0Narcissus Road, West Hampstead, London NW6"
sales,"Manbey Grove, Stratford, London E15",3.0,2.0,1.0,650000.0,,,Positioned in one of Stratford's premier roads is this charming Victorian terraced house offering an abundance of potential and fabulous ...,,E15,Keatons - Stratford,zoopla,https://www.zoopla.co.uk/for-sale/details/64672852/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.01.0650000.0nanManbey Grove, Stratford, London E15"
rent,"Ifield Road, London SW10",4.0,1.0,2.0,,,,A unique opportunity to rent this incredibly bright and spacious four bedroom maisonette set on this lovely residential street in this ...,,SW10,Farrar & Co,zoopla,https://www.zoopla.co.uk/to-rent/details/62760983/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent4.02.0nan5417.0Ifield Road, London SW10"
